epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.78613,1.22531,3.91549,1.15979,0.20542,0.50935,0.17254,0.11737,0.72375,3.50566,1.00596,0.09703,3e-05,3e-05
2,8.99172,1.13615,3.7765,1.16411,0.19812,0.45794,0.17334,0.119,0.72579,3.53269,1.00464,0.0930697,6.96535e-05,6.96535e-05
3,11.4897,1.10832,2.98848,1.11107,0.60158,0.6215,0.66345,0.46087,0.75626,3.43427,0.98917,0.0891089,0.000108911,0.000108911
4,14.0911,0.87287,0.97736,0.98727,0.48553,0.41455,0.39468,0.2511,0.93796,2.80569,1.15243,0.0851478,0.000147772,0.000147772
5,16.1142,0.91486,0.77486,1.02472,0.83634,0.69626,0.7464,0.54175,0.83337,1.2966,1.01602,0.0811862,0.000186238,0.000186238
6,17.9553,0.89551,0.76413,1.01087,0.73809,0.5514,0.62939,0.45231,0.99396,1.71832,1.10057,0.0772243,0.000224308,0.000224308
7,19.6077,0.85679,0.64698,0.99158,0.81472,0.50467,0.67317,0.48809,0.90267,1.48568,1.07295,0.073262,0.000261981,0.000261981
8,21.234,0.83242,0.60213,0.99037,0.8075,0.60766,0.72222,0.55355,0.86776,1.293,1.05209,0.0692993,0.000299258,0.000299258
9,22.8797,0.84466,0.71355,0.99634,0.73838,0.71219,0.75543,0.53358,0.8987,1.12826,1.07712,0.0653361,0.00033614,0.00033614
10,24.5071,0.80129,0.65492,0.99255,0.84866,0.83645,0.89992,0.71701,0.79191,0.80277,1.02853,0.0613726,0.000372625,0.000372625
11,26.1575,0.85587,0.60438,0.96821,0.90133,0.86449,0.93926,0.74416,0.77551,0.77111,1.00589,0.0574087,0.000408715,0.000408715
12,27.787,0.80231,0.56188,0.97948,0.91515,0.8785,0.93688,0.7393,0.78014,0.71383,1.01765,0.0534444,0.000444408,0.000444408
13,29.3622,0.80667,0.55321,0.95603,0.91075,0.85833,0.93292,0.72886,0.74935,0.73954,1.02113,0.0494797,0.000479706,0.000479706
